"BOOK_ID","RATING"
"5001","0.0"
"5002","8.62"
"5003","7.54"
"5004","0.0"
"5005","0.0"
"5009","10.0"
"5010","0.0"
"5012","0.0"
"5013","10.0"
"5014","0.0"
"5015","0.0"
"5017","0.0"
"5019","0.0"
"5020","9.0"
"5023","4.0"
"5033","0.0"
"5040","0.0"
"5041","0.0"
"5042","0.0"
"5044","0.0"
"5045","0.0"
"5047","0.0"
"5048","0.0"
"5049","0.0"
"5050","0.0"
"5051","0.0"
"5053","0.0"
"5054","0.0"
"5055","0.0"
"5056","0.0"
"5064","0.0"
"5066","0.0"
"5072","8.0"
"5076","0.0"
"5085","0.0"
"5086","0.0"
"5087","0.0"
"5088","0.0"
"5089","0.0"
"5093","0.0"
"5094","0.0"
"5097","0.0"
"5098","0.0"
"5107","0.0"
"5108","0.0"
"5114","0.0"
"5115","0.0"
"5116","0.0"
"5117","0.0"
"5123","0.0"
"5124","0.0"
"5126","0.0"
"5128","0.0"
"5129","0.0"
"5139","0.0"
"5140","0.0"
"5142","0.0"
"5144","6.0"
"5145","0.0"
"5146","0.0"
"5149","8.41"
"5152","8.33"
"5153","6.82"
"5154","7.8"
"5155","8.28"
"5157","9.0"
"5160","9.0"
"5161","7.44"
"5162","8.18"
"5163","8.2"
"5164","7.83"
"5165","7.17"
"5168","8.43"
"5169","7.86"
"5170","8.65"
"5174","8.22"
"5175","7.13"
"5179","8.2"
"5180","8.77"
"5181","7.74"
"5182","6.75"
"5183","8.5"
"5184","5.0"
"5187","8.35"
"5188","8.31"
"5189","7.11"
"5190","7.0"
"5192","8.35"
"5193","8.25"
"5194","8.07"
"5195","7.54"
"5196","8.69"
"5200","8.15"
"5201","8.33"
"5203","8.06"
"5205","0.0"
"5206","8.0"
"5207","0.0"
"5208","0.0"
"5213","0.0"
"5217","0.0"
"5218","0.0"
"5219","0.0"
"5220","0.0"
"5221","0.0"
"5224","0.0"
"5225","10.0"
"5231","8.5"
"5236","0.0"
"5237","7.0"
"5242","0.0"
"5251","9.5"
"5256","0.0"
"5257","0.0"
"5258","0.0"
"5259","10.0"
"5260","0.0"
"5261","9.0"
"5262","0.0"
"5263","6.0"
"5264","0.0"
"5266","0.0"
"5268","0.0"
"5269","0.0"
"5271","0.0"
"5272","0.0"
"5273","0.0"
"5277","8.5"
"5289","0.0"
"5290","0.0"
"5293","0.0"
"5300","9.0"
"5306","10.0"
"5309","9.5"
"5310","0.0"
"5313","0.0"
"5316","7.0"
"5317","0.0"
"5318","0.0"
"5320","10.0"
"5322","0.0"
"5324","0.0"
"5325","0.0"
"5326","0.0"
"5333","0.0"
"5334","0.0"
"5335","0.0"
"5336","0.0"
"5338","0.0"
"5339","0.0"
"5341","0.0"
"5342","0.0"
"5343","6.0"
"5344","0.0"
"5345","0.0"
"5346","0.0"
"5350","0.0"
"5351","0.0"
"5352","0.0"
"5354","0.0"
"5355","0.0"
"5356","0.0"
"5358","0.0"
"5360","0.0"
"5362","0.0"
"5363","10.0"
"5364","8.5"
"5365","0.0"
"5367","0.0"
"5368","0.0"
"5369","0.0"
"5370","0.0"
"5375","8.0"
"5376","0.0"
"5377","0.0"
"5378","0.0"
"5379","0.0"
"5380","0.0"
"5381","0.0"
"5383","0.0"
"5390","0.0"
"5392","0.0"
"5405","0.0"
"5406","0.0"
"5414","0.0"
"5415","0.0"
"5419","0.0"
"5427","0.0"
"5428","0.0"
"5429","0.0"
"5430","0.0"
"5432","0.0"
"5433","8.0"
"5447","0.0"
"5451","0.0"
"5453","0.0"
"5456","0.0"
"5461","0.0"
"5462","0.0"
"5463","0.0"
"5464","0.0"
"5465","0.0"
"5466","0.0"
"5468","0.0"
"5470","0.0"
"5474","0.0"
"5484","0.0"
"5485","0.0"
"5488","6.0"
"5489","9.0"
"5491","8.0"
"5493","0.0"
"5494","0.0"
"5495","0.0"
"5497","0.0"
"5506","0.0"
"5508","5.5"
"5509","0.0"
"5512","0.0"
"5515","0.0"
"5532","0.0"
"5535","0.0"
"5536","0.0"
"5539","0.0"
"5561","0.0"
"5563","0.0"
"5567","0.0"
"5572","0.0"
"5573","0.0"
"5574","0.0"
"5575","0.0"
"5576","0.0"
"5577","0.0"
"5578","0.0"
"5580","0.0"
"5581","0.0"
"5582","0.0"
"5583","0.0"
"5584","0.0"
"5587","0.0"
"5589","0.0"
"5591","0.0"
"5597","0.0"
"5599","0.0"
"5601","0.0"
"5603","0.0"
"5604","0.0"
"5612","0.0"
"5613","0.0"
"5619","0.0"
"5621","10.0"
"5628","0.0"
"5630","2.0"
"5706","0.0"
"5723","0.0"
"5730","0.0"
"5731","0.0"
"5733","0.0"
"5740","0.0"
"5747","0.0"
"5749","0.0"
"5756","0.0"
"5759","0.0"
"5760","0.0"
"5763","0.0"
"5766","0.0"
"5767","0.0"
"5770","0.0"
"5775","0.0"
"5777","0.0"
"5780","0.0"
"5781","4.0"
"5782","0.0"
"5783","0.0"
"5784","0.0"
"5785","0.0"
"5786","0.0"
"5787","0.0"
"5788","0.0"
"5789","0.0"
"5794","0.0"
"5796","0.0"
"5797","0.0"
"5799","0.0"
"5802","0.0"
"5803","0.0"
"5805","0.0"
"5806","0.0"
"5807","0.0"
"5808","0.0"
"5809","0.0"
"5810","0.0"
"5811","0.0"
"5812","0.0"
"5813","0.0"
"5815","9.5"
"5817","0.0"
"5819","0.0"
"5820","0.0"
"5824","0.0"
"5865","0.0"
"5869","0.0"
"5870","0.0"
"5874","0.0"
"5879","0.0"
"5882","0.0"
"5886","0.0"
"5896","0.0"
"5897","0.0"
"5899","0.0"
"5901","0.0"
"5902","0.0"
"5904","0.0"
"5905","0.0"
"5906","0.0"
"5908","0.0"
"5909","0.0"
"5910","0.0"
"5911","0.0"
"5912","0.0"
"5915","0.0"
"5916","0.0"
"5918","0.0"
"5919","0.0"
"5920","0.0"
"5922","0.0"
"5923","0.0"
"5924","0.0"
"5926","0.0"
"5927","0.0"
"5928","0.0"
"5931","0.0"
"5932","0.0"
"5933","1.0"
"5936","0.0"
"5941","0.0"
"5944","0.0"
"5953","0.0"
"5959","0.0"
"5960","0.0"
"5961","0.0"
"5962","5.0"
"5963","0.0"
"5964","0.0"
"5966","0.0"
"5967","0.0"
"5968","0.0"
"6028","0.0"
"6031","0.0"
"6032","0.0"
"6033","0.0"
"6035","0.0"
"6050","0.0"
"6053","0.0"
"6054","0.0"
"6071","0.0"
"6075","0.0"
"6077","0.0"
"6078","0.0"
"6080","0.0"
"6110","0.0"
"6114","9.86"
"6117","0.0"
"6119","0.0"
"6121","0.0"
"6122","0.0"
"6124","0.0"
"6125","0.0"
"6129","0.0"
"6130","0.0"
"6132","0.0"
"6133","0.0"
"6134","0.0"
"6135","0.0"
"6137","0.0"
"6138","0.0"
"6139","0.0"
"6140","0.0"
"6141","8.0"
"6142","0.0"
"6144","0.0"
"6145","0.0"
"6146","0.0"
"6147","0.0"
"6148","0.0"
"6149","7.0"
"6150","0.0"
"6151","0.0"
"6152","0.0"
"6153","0.0"
"6155","9.0"
"6156","8.0"
"6157","0.0"
"6158","6.0"
"6159","0.0"
"6160","0.0"
"6164","0.0"
"6166","8.23"
"6169","0.0"
"6170","0.0"
"6202","0.0"
"6203","0.0"
"6204","0.0"
"6205","0.0"
"6207","0.0"
"6211","0.0"
"6219","0.0"
"6220","0.0"
"6223","0.0"
"6226","0.0"
"6228","10.0"
"6229","7.5"
"6231","8.33"
"6247","0.0"
"6250","0.0"
"6252","5.0"
"6255","0.0"
"6256","0.0"
"6260","0.0"
"6261","0.0"
"6262","0.0"
"6263","0.0"
"6266","10.0"
"6269","0.0"
"6270","0.0"
"6271","0.0"
"6272","0.0"
"6273","0.0"
"6276","0.0"
"6277","0.0"
"6279","0.0"
"6280","0.0"
"6285","0.0"
"6286","0.0"
"6288","0.0"
"6289","0.0"
"6297","1.0"
"6298","10.0"
"6299","0.0"
"6300","9.0"
"6301","0.0"
"6303","0.0"
"6308","0.0"
"6309","8.0"
"6311","10.0"
"6323","10.0"
"6324","0.0"
"6325","0.0"
"6327","9.5"
"6329","0.0"
"6331","8.0"
"6337","8.0"
"6338","0.0"
"6339","0.0"
"6341","9.67"
"6342","8.0"
"6345","0.0"
"6346","8.0"
"6349","2.0"
"6351","9.0"
"6353","0.0"
"6360","6.0"
"6361","8.0"
"6362","0.0"
"6364","6.0"
"6365","0.0"
"6367","0.0"
"6368","7.0"
"6369","10.0"
"6371","0.0"
"6374","7.67"
"6375","0.0"
"6376","8.0"
"6381","0.0"
"6383","0.0"
"6384","10.0"
"6385","0.0"
"6386","8.0"
"6387","0.0"
"6388","8.5"
"6389","1.5"
"6390","0.0"
"6391","8.72"
"6392","0.0"
"6398","0.0"
"6399","0.0"
"6400","7.5"
"6401","5.33"
"6405","9.5"
"6406","8.3"
"6407","0.0"
"6408","5.0"
"6409","0.0"
"6410","8.08"
"6411","0.0"
"6412","10.0"
"6414","0.0"
"6415","7.0"
"6421","4.0"
"6422","0.0"
"6423","10.0"
"6424","9.0"
"6425","0.0"
"6426","0.0"
"6427","0.0"
"13200559","0.0"
"13200600","0.0"
"13203982","0.0"
"13204004","0.0"
"13204005","0.0"
"13204006","8.0"
"13204007","0.0"
"13204008","0.0"
"13205404","0.0"
"13205406","0.0"
"13205408","0.0"
"13205409","0.0"
"13205410","0.0"
"13205412","0.0"
"13205414","0.0"
"13205418","0.0"
"13205419","0.0"
"13205423","0.0"
"13205424","0.0"
"13205431","0.0"
"13205432","0.0"
"13205433","0.0"
"13205435","0.0"
"13205436","0.0"
"13205437","0.0"
"13205438","0.0"
"13205439","0.0"
"13205440","0.0"
"13205442","0.0"
"13205444","0.0"
"13205446","0.0"
"13205447","0.0"
"13205449","0.0"
"13205451","0.0"
"13205454","0.0"
"13205455","9.38"
"13205460","0.0"
"13205461","0.0"
"13205463","0.0"
"13205464","0.0"
"13205465","0.0"
"13205466","0.0"
"13205468","0.0"
"13205476","0.0"
"13205487","0.0"
"13205489","0.0"
"13205492","0.0"
"13205493","0.0"
"13205494","0.0"
"13205495","0.0"
"13205496","0.0"
"13205497","0.0"
"13205499","0.0"
"13205500","0.0"
"13205501","0.0"
"13205502","0.0"
"13205503","0.0"
"13205504","0.0"
"13205505","0.0"
"13205511","0.0"
"13205512","0.0"
"13205513","0.0"
"13205516","0.0"
"13205520","0.0"
"13205521","0.0"
"13205523","0.0"
"13205525","0.0"
"13205527","0.0"
"13205528","0.0"
"13205529","10.0"
"13205530","0.0"
"13205531","0.0"
"13205532","0.0"
"13205533","10.0"
